Day,Capital Start,C_i-1,mi,p,M_i,G,C_i,Total Orders,Capital End
1,15000000.0,1020000.0,9000000.0,1.0,6000000.0,1.0039532356277567,1024032.3003403118,4096129.2013612473,245767752.08167487
2,245767752.08167487,1024032.3003403118,147460651.24900493,1.0,98307100.83266994,1.0070349178699323,1031236.2834693637,4124945.133877455,247496708.03264728
3,247496708.03264728,1031236.2834693637,148498024.81958836,1.0,98998683.21305892,1.007044623071787,1038500.9543843559,4154003.8175374237,249240229.05224544
4,249240229.05224544,1038500.9543843559,149544137.43134725,1.0,99696091.62089819,1.0070543481407144,1045826.9016610474,4183307.6066441895,250998456.39865136
5,250998456.39865136,1045826.9016610474,150599073.8391908,1.0,100399382.55946055,1.0070640931144035,1053214.7202759292,4212858.881103717,252771532.866223
6,252771532.866223,1053214.7202759292,151662919.7197338,1.0,101108613.1464892,1.007073858030662,1060665.0116829644,4242660.046731858,254559602.80391145
7,254559602.80391145,1060665.0116829644,152735761.68234685,1.0,101823841.12156458,1.0070836429274177,1068178.3838913317,4272713.535565327,256362812.13391963
8,256362812.13391963,1068178.3838913317,153817687.28035176,1.0,102545124.85356785,1.0070934478427183,1075755.451544184,4303021.806176736,258181308.37060422
9,258181308.37060422,1075755.451544184,154908785.02236253,1.0,103272523.34824169,1.0071032728147324,1083396.835998438,4333587.343993752,260015240.63962513
10,260015240.63962513,1083396.835998438,156009144.3837751,1.0,104006096.25585005,1.0071131178817503,1091103.1654056103,4364412.661622441,261864759.6973465
11,261864759.6973465,1091103.1654056103,157118855.8184079,1.0,104745903.87893862,1.0071229830821844,1098875.0747937122,4395500.299174849,263730017.95049095
12,263730017.95049095,1098875.0747937122,158238010.77029458,1.0,105492007.18019637,1.0071328684545695,1106713.206150221,4426852.824600884,265611169.47605306
13,265611169.47605306,1106713.206150221,159366701.68563184,1.0,106244467.79042122,1.007142774037564,1114618.20850614,4458472.83402456,267508370.0414736
14,267508370.0414736,1114618.20850614,160505022.02488416,1.0,107003348.01658943,1.0071526998699507,1122590.7380211665,4490362.952084666,269421777.12508
15,269421777.12508,1122590.7380211665,161653066.275048,1.0,107768710.850032,1.0071626459906369,1130631.45806998,4522525.83227992,271351549.9367952
16,271351549.9367952,1130631.45806998,162810929.9620771,1.0,108540619.97471806,1.0071726124386549,1138741.039329667,4554964.157318668,273297849.4391201
17,273297849.4391201,1138741.039329667,163978709.66347206,1.0,109319139.77564806,1.0071825992531631,1146920.1598683025,4587680.63947321,275260838.36839265
18,275260838.36839265,1146920.1598683025,165156503.02103558,1.0,110104335.34735706,1.007192606473447,1155169.5052346983,4620678.020938793,277240681.25632757
19,277240681.25632757,1155169.5052346983,166344408.75379655,1.0,110896272.50253102,1.0072026341389193,1163489.7685493403,4653959.074197361,279237544.4518417
20,279237544.4518417,1163489.7685493403,167542526.67110503,1.0,111695017.78073668,1.0072126822891203,1171881.6505965288,4687526.602386115,281251596.14316696
21,281251596.14316696,1171881.6505965288,168750957.68590018,1.0,112500638.45726678,1.0072227509637188,1180345.8599177392,4721383.439670957,283283006.3802574
22,283283006.3802574,1180345.8599177392,169969803.82815444,1.0,113313202.55210298,1.0072328402025135,1188883.1129062225,4755532.45162489,285331947.0974934
23,285331947.0974934,1188883.1129062225,171199168.25849605,1.0,114132778.83899736,1.0072429500454327,1197494.1339028608,4789976.535611443,287398592.1366866
24,287398592.1366866,1197494.1339028608,172439155.28201196,1.0,114959436.85467465,1.0072530805325355,1206179.655293297,4824718.621173188,289483117.2703913
25,289483117.2703913,1206179.655293297,173689870.36223477,1.0,115793246.90815651,1.0072632317040118,1214940.4176063573,4859761.670425429,291585700.2255258
26,291585700.2255258,1214940.4176063573,174951420.13531548,1.0,116634280.09021032,1.0072734036001838,1223777.1696137842,4895108.678455137,293706520.70730823
27,293706520.70730823,1223777.1696137842,176223912.42438492,1.0,117482608.2829233,1.0072835962615065,1232690.6684313002,4930762.673725201,295845760.42351204
28,295845760.42351204,1232690.6684313002,177507456.2541072,1.0,118338304.16940482,1.0072938097285682,1241681.6796210196,4966726.7184840785,298003603.10904473
29,298003603.10904473,1241681.6796210196,178802161.86542684,1.0,119201441.24361789,1.0073040440420906,1250750.9772952285,5003003.909180914,300180234.55085486
30,300180234.55085486,1250750.9772952285,180108140.73051292,1.0,120072093.82034194,1.007314299242931,1259899.344221554,5039597.376886216,302375842.61317295
